"Refs","Value","Footprint","Qty","DNP"
"C1","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C2","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C4","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","1n","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","1n","Capacitor_SMD:C_0402_1005Metric","1",""
"C8","1n","Capacitor_SMD:C_0402_1005Metric","1",""
"J1","MONITOR_INPUT","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J2","HOST_IF","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","1",""
"J3","SPARE_IF","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R1","10k 1%","Resistor_SMD:R_0402_1005Metric","1",""
"R2","10k 1%","Resistor_SMD:R_0402_1005Metric","1",""
"R3","10k 1%","Resistor_SMD:R_0402_1005Metric","1",""
"R4","4.7k 1%","Resistor_SMD:R_0402_1005Metric","1",""
"R5","4.7k 1%","Resistor_SMD:R_0402_1005Metric","1",""
"R6","0","Resistor_SMD:R_0402_1005Metric","1",""
"R7","0","Resistor_SMD:R_0402_1005Metric","1",""
"TP8","U1D_IN","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP9","U1D_OUT","TestPoint:TestPoint_Pad_D1.0mm","1",""
"U1","TLV9064IDR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"U2","ADS1115IDGSR","Package_SO:MSOP-10_3x3mm_P0.5mm","1",""
"U3","74LVC1G17GW","Package_TO_SOT_SMD:SOT-353_SC-70-5","1",""
"U4","74LVC1G17GW","Package_TO_SOT_SMD:SOT-353_SC-70-5","1",""
